Nombre,Apellidos,DNI,Telefono,País,Vehiculo,Multas Radar,Multas ITV,Multas Estupefacientes,Total Multas
Enrique,Canet,78398697T,Alemania +49-646550448,,7352RJS,36,108,"279
",423
Quirino,Riera Borja,57064134F,Italia +39-659353843,,5730ABK,260,268,"9
",537
Maribel,Vergara-Jurado,26244413X,Grecia +30-652619590,,1347ARV,103,99,"157
",359
Galo,Landa Manzanares,85851460G,Reino Unido +44-676685302,,4277PGZ,186,133,"179
",498
Yésica,Guardia Bernad,53209991C,Francia +33-675816899,,2952DEM,183,143,"29
",355
Faustino,Morillo,75542324C,España +34-603184461,,5584QNZ,207,188,"226
",621
Toni,Salazar,07413774T,Italia +39-699661630,,1185XTN,201,207,"239
",647
Salomé,Ibañez-Gómez,62133877K,Portugal +351-615170532,,7647ENK,228,119,"229
",576
Felix,Cámara Cid,16452554X,Reino Unido +44-620555623,,3038OPS,17,292,"28
",337
Ciriaco Adán,Jiménez,21406979M,Grecia +30-672502563,,7138SOM,23,56,"43
",122
Ildefonso Jaume,Alcalá,84631347H,Rusia +7-652446130,,1544SCO,286,122,"91
",499
Adelina,Teruel Gálvez,86502064F,Italia +39-626457955,,3318RTQ,194,107,"165
",466
Amado,Benavente-Riba,80217299S,Rusia +7-694339266,,3460LXI,49,220,"106
",375
Hernando,Amores,85221492Y,Suiza +41-625257591,,4222ZOD,159,295,"190
",644
Paulina,Anglada Cervera,27263550V,Alemania +49-603605773,,5174APN,62,230,"178
",470
Baltasar,Guzman-Rozas,05877725Y,Suiza +41-643862432,,2639WND,264,220,"62
",546
Natalia Aroa,Palomares Blasco,66175677P,España +34-675420541,,3404BCV,152,165,"85
",402
Fermín,Gomis Ayllón,20318104L,Grecia +30-614258964,,9551IRM,163,179,"4
",346
Anna,Sierra Carbonell,84578084T,Grecia +30-675082463,,1842DHQ,163,193,"177
",533
Eva María,Cepeda Fuentes,16684066G,Italia +39-627543686,,8107LSN,294,38,"27
",359
Remigio Isidro,Roldán Leal,24578943Q,Reino Unido +44-668956378,,8501EIW,208,34,"283
",525
Úrsula,Lluch,50075685Q,Ucrania +380-648778701,,6891MCG,42,231,"138
",411
Manuel,Estrada,49207871S,Alemania +49-681364330,,5758NSA,287,262,"127
",676
Amílcar,Teruel,82190722S,Grecia +30-634478679,,1350PTB,53,55,"38
",146
Ana Sofía,Corral Llorens,85310497R,Suiza +41-668873465,,6130XNW,229,162,"175
",566
José,Tolosa Maestre,50933502W,Francia +33-681415423,,1989ZLS,245,201,"28
",474
Cayetana,Nadal Crespi,88467939A,Rusia +7-639800393,,6349PEC,174,234,"9
",417
Cristian,Ruiz Arco,76705269Q,Portugal +351-633433215,,6804UQN,120,81,"260
",461
Rafael,Alfonso-Lloret,19130746J,Portugal +351-610228710,,8527PVS,186,241,"1
",428
Íngrid,Lloret Cifuentes,34087087Y,Ucrania +380-668504691,,8986ADN,288,21,"54
",363
Chus,Del Prada,15447441C,Francia +33-674077964,,6441DNA,276,71,"287
",634
Sara,Badía Almeida,10533261C,Rusia +7-697437607,,3882YXN,269,283,"245
",797
Pío,Ojeda Garriga,95554415H,Suiza +41-656074123,,7147QMX,268,236,"273
",777
Remedios,Zapata,30617495X,Francia +33-6950321689,,7548EOS,256,14,"279
",549
Iris,Saez,76418019J,Italia +39-645178841,,1036OSB,152,140,"190
",482
Esteban,Luna,14252299G,Francia +33-607018491,,2898VLC,225,113,"282
",620
María Fernanda,Mercader Roman,93499143A,España +34-674725699,,4748SWP,276,25,"83
",384
Socorro,Espejo Luz,89734192Z,Portugal +351-612191513,,4798ZSJ,93,242,"157
",492
Dolores,Seco Castellanos,92154120C,Alemania +49-657903461,,1690WLD,128,93,"187
",408
Cornelio,Barreda Verdú,25858885P,Ucrania +380-610474632,,7710XJS,269,105,"230
",604
Paola,García,15802707M,España +34-600230922,,9767DUS,232,157,"151
",540
Urbano,Bello Portero,25194358C,Ucrania +380-689873005,,5269BLS,17,83,"233
",333
Cruz,Aguado Hervás,03447074H,Reino Unido +44-605058434,,8713OCN,238,2,"237
",477
Severiano,Garcia Padilla,40857375Z,Ucrania +380-627201772,,1155QOS,48,263,"232
",543
Ibán,Larrañaga Isern,63970932C,Grecia +30-668045110,,3522NXS,52,146,"155
",353
Emilio,Suarez,82912302Q,Portugal +351-637751651,,1574LSN,261,32,"232
",525
Aitana,Cases Osuna,71765240L,Reino Unido +44-601588893,,1977IDN,206,177,"13
",396
Camilo,Lasa-Marcos,61576853B,Alemania +49-683007480,,7662KEH,88,270,"130
",488
Herminio,Lladó Sedano,48882244E,Rusia +7-683557230,,4528HSN,253,123,"93
",469
Susana,Mariño Cañellas,63651416C,Suiza +41-682664468,,8264ZQW,231,275,159,665
